year,investments
2026,cash value: 68400,S&P 500 non-retirement value: 159750.41,tax-exempt bonds value: 2159.5,S&P 500 pre-tax value: 10451.83,S&P 500 after-tax value: 39937.6
2027,cash value: 125537.59,S&P 500 non-retirement value: 280965.36,tax-exempt bonds value: 2265.85,S&P 500 pre-tax value: 11184.38,S&P 500 after-tax value: 74687
2028,cash value: 183019.34,S&P 500 non-retirement value: 455693.1,tax-exempt bonds value: 2276.41,S&P 500 pre-tax value: 11680.02,S&P 500 after-tax value: 128528.82
2029,cash value: 241906.29,S&P 500 non-retirement value: 672468.42,tax-exempt bonds value: 2414.19,S&P 500 pre-tax value: 12583.62,S&P 500 after-tax value: 200867.19
2030,cash value: 301806.78,S&P 500 non-retirement value: 941052.66,tax-exempt bonds value: 2573.96,S&P 500 pre-tax value: 13235.22,S&P 500 after-tax value: 297174.52
2031,cash value: 361734.11,S&P 500 non-retirement value: 1245818.42,tax-exempt bonds value: 2723.33,S&P 500 pre-tax value: 14041.8,S&P 500 after-tax value: 415272.81
2032,cash value: 421938.15,S&P 500 non-retirement value: 1621320.02,tax-exempt bonds value: 2836.26,S&P 500 pre-tax value: 14788.59,S&P 500 after-tax value: 569652.98
2033,cash value: 482909.83,S&P 500 non-retirement value: 2057043.02,tax-exempt bonds value: 3136.82,S&P 500 pre-tax value: 15605.95,S&P 500 after-tax value: 760824.13
2034,cash value: 544608.49,S&P 500 non-retirement value: 2540201.92,tax-exempt bonds value: 3376.48,S&P 500 pre-tax value: 16705.34,S&P 500 after-tax value: 987856.3
2035,cash value: 607661.03,S&P 500 non-retirement value: 3091607.88,tax-exempt bonds value: 3625.92,S&P 500 pre-tax value: 18365.86,S&P 500 after-tax value: 1262769.42
2036,cash value: 670855.45,S&P 500 non-retirement value: 3709542.48,tax-exempt bonds value: 3884.11,S&P 500 pre-tax value: 19302.58,S&P 500 after-tax value: 1589803.92
2037,cash value: 734379.58,S&P 500 non-retirement value: 4448404.57,tax-exempt bonds value: 4287.11,S&P 500 pre-tax value: 20838.12,S&P 500 after-tax value: 1998558.57
2038,cash value: 798455.03,S&P 500 non-retirement value: 5256127.91,tax-exempt bonds value: 4552.43,S&P 500 pre-tax value: 22487.2,S&P 500 after-tax value: 2473471.96
2039,cash value: 863577.32,S&P 500 non-retirement value: 6041545.65,tax-exempt bonds value: 4882.51,S&P 500 pre-tax value: 23270.43,S&P 500 after-tax value: 2975686.66
2040,cash value: 929258.04,S&P 500 non-retirement value: 7051406.01,tax-exempt bonds value: 5079.89,S&P 500 pre-tax value: 24497.72,S&P 500 after-tax value: 3632542.49
2041,cash value: 995803.54,S&P 500 non-retirement value: 7980009.41,tax-exempt bonds value: 5275.62,S&P 500 pre-tax value: 25862.54,S&P 500 after-tax value: 4296928.14
2042,cash value: 1063030.14,S&P 500 non-retirement value: 8879680.78,tax-exempt bonds value: 5672.01,S&P 500 pre-tax value: 27507.7,S&P 500 after-tax value: 4994820.44
2043,cash value: 1131375.31,S&P 500 non-retirement value: 10064872.37,tax-exempt bonds value: 5997.57,S&P 500 pre-tax value: 28858.82,S&P 500 after-tax value: 5911115.52
2044,cash value: 1200246.77,S&P 500 non-retirement value: 11140020.76,tax-exempt bonds value: 6411.37,S&P 500 pre-tax value: 30213.28,S&P 500 after-tax value: 6827754.66
2045,cash value: 1269946.44,S&P 500 non-retirement value: 12292585.31,tax-exempt bonds value: 6887.35,S&P 500 pre-tax value: 32998.34,S&P 500 after-tax value: 7859193.88
2046,cash value: 1340789.3,S&P 500 non-retirement value: 13398233.97,tax-exempt bonds value: 7172.49,S&P 500 pre-tax value: 35258.31,S&P 500 after-tax value: 8932155.98
2047,cash value: 1412201.78,S&P 500 non-retirement value: 14451376.17,tax-exempt bonds value: 7733.27,S&P 500 pre-tax value: 36717.54,S&P 500 after-tax value: 10042481.75
2048,cash value: 1484252.02,S&P 500 non-retirement value: 15827949.3,tax-exempt bonds value: 8021.51,S&P 500 pre-tax value: 37888.96,S&P 500 after-tax value: 11461618.46
2049,cash value: 1556124.84,S&P 500 non-retirement value: 17750678.05,tax-exempt bonds value: 8469.69,S&P 500 pre-tax value: 39906.25,S&P 500 after-tax value: 13390862.39
2050,cash value: 1628917.05,S&P 500 non-retirement value: 19654617.68,tax-exempt bonds value: 8807.48,S&P 500 pre-tax value: 41721.47,S&P 500 after-tax value: 15442913.89
2051,cash value: 1702408.04,S&P 500 non-retirement value: 21151135.73,tax-exempt bonds value: 9461.2,S&P 500 pre-tax value: 43844.04,S&P 500 after-tax value: 17305474.69
2052,cash value: 1786560.09,S&P 500 non-retirement value: 23010930.44,tax-exempt bonds value: 10023.47,S&P 500 pre-tax value: 46633.12,S&P 500 after-tax value: 19601903.71
2053,cash value: 1871155.56,S&P 500 non-retirement value: 24225904.63,tax-exempt bonds value: 10284.18,S&P 500 pre-tax value: 50222.06,S&P 500 after-tax value: 21483349.39
2054,cash value: 1955209.73,S&P 500 non-retirement value: 26637975.4,tax-exempt bonds value: 11026.54,S&P 500 pre-tax value: 52624.03,S&P 500 after-tax value: 24588900.37
2055,cash value: 2039327.51,S&P 500 non-retirement value: 28927235.49,tax-exempt bonds value: 11805.91,S&P 500 pre-tax value: 56063.3,S&P 500 after-tax value: 27792834.1
2056,cash value: 2123529.16,S&P 500 non-retirement value: 31355970.5,tax-exempt bonds value: 12224.31,S&P 500 pre-tax value: 61364.41,S&P 500 after-tax value: 31355970.5
2057,cash value: 2204175.83,S&P 500 non-retirement value: 33750931.93,tax-exempt bonds value: 13335.44,S&P 500 pre-tax value: 62647.51,S&P 500 after-tax value: 35128520.99
2058,cash value: 2284567.78,S&P 500 non-retirement value: 36387972.5,tax-exempt bonds value: 13779.28,S&P 500 pre-tax value: 67086.9,S&P 500 after-tax value: 39420303.54
2059,cash value: 2364281.63,S&P 500 non-retirement value: 38761419.88,tax-exempt bonds value: 14311.66,S&P 500 pre-tax value: 70521.05,S&P 500 after-tax value: 43709686.25
2060,cash value: 2443895.12,S&P 500 non-retirement value: 41307572.73,tax-exempt bonds value: 14615.37,S&P 500 pre-tax value: 71922.02,S&P 500 after-tax value: 48491498.42
2061,cash value: 2523613.71,S&P 500 non-retirement value: 43459507.7,tax-exempt bonds value: 15039.78,S&P 500 pre-tax value: 72245.28,S&P 500 after-tax value: 53117176.08
2062,cash value: 2602179.87,S&P 500 non-retirement value: 45895292.45,tax-exempt bonds value: 15684.17,S&P 500 pre-tax value: 73379.12,S&P 500 after-tax value: 58412190.39
2063,cash value: 2677317.57,S&P 500 non-retirement value: 48714959.97,tax-exempt bonds value: 16908.55,S&P 500 pre-tax value: 73047.2,S&P 500 after-tax value: 64575644.61
2064,cash value: 2752819.64,S&P 500 non-retirement value: 51537282.76,tax-exempt bonds value: 18003.07,S&P 500 pre-tax value: 74706.92,S&P 500 after-tax value: 71170533.33
2065,cash value: 2827983.23,S&P 500 non-retirement value: 55000309.04,tax-exempt bonds value: 18499.02,S&P 500 pre-tax value: 76416.96,S&P 500 after-tax value: 79146786.18
